col_hex_8,Morti,Feriti,hour-0-7,hour-8-15,hour-16-23,end_of_week,Contro ostacoli,Contro veicoli fermi,Da solo,Investimento,Scontro fra veicoli in movimento,Tamponamento,Altro tipo di strada,Curva,Incrocio,Intersezione,Rettilineo,Rotatoria,asciutto,bagnato,ghiacciato,viscido,Altra pavimentazione,Asfaltata,In cubetti di porfido,Strada pavimentata dissestata,auto,moto,bus,camion,lavoro,bici,elettrici,altro,Altro tempo,Nebbia,Nuvoloso,Pioggia,Sereno,Altra strada,Provinciale,Regionale,Statale,Urbana,Traffico Intenso,Traffico Normale,Traffico Scarso,y,media veicoli coinvolti,luce,centro abitato
881ea5500bfffff,0.0,17.0,0.10526315789473684,0.6842105263157895,0.21052631578947367,3,0.0,0.0,0.05263157894736842,0.0,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.05263157894736842,0.3684210526315789,0.0,0.42105263157894735,0.10526315789473684,0.8421052631578947,0.10526315789473684,0.05263157894736842,0.0,0.0,1.0,0.0,0.0,1.4210526315789473,0.10526315789473684,0.0,0.3157894736842105,0.0,0.3157894736842105,0.0,0.0,0.0,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.6842105263157895,0.0,0.05263157894736842,0.47368421052631576,0.05263157894736842,0.42105263157894735,0.21052631578947367,0.631578947368421,0.15789473684210525,19,2.1578947368421053,0.7894736842105263,0.5263157894736842
881ea55013fffff,0.0,3.0,0.0,1.0,0.0,0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.3333333333333333,1.0,1.0
881ea55015fffff,0.0,2.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2.0,1.0,1.0
881ea55019fffff,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2.0,1.0,1.0
881ea5501bfffff,0.0,3.0,0.5,0.0,0.5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1.0,0.5,1.0
881ea5501dfffff,0.0,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,6,1.3333333333333333,1.0,1.0
881ea55051fffff,0.0,9.0,0.25,0.4166666666666667,0.3333333333333333,3,0.08333333333333333,0.0,0.0,0.08333333333333333,0.25,0.5833333333333334,0.0,0.08333333333333333,0.25,0.0,0.3333333333333333,0.3333333333333333,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.5833333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.08333333333333333,0.25,0.6666666666666666,0.25,0.5833333333333334,0.16666666666666666,12,1.9166666666666667,0.75,1.0
881ea55053fffff,0.0,31.0,0.0967741935483871,0.3548387096774194,0.5483870967741935,11,0.0,0.16129032258064516,0.16129032258064516,0.06451612903225806,0.5161290322580645,0.0967741935483871,0.0,0.06451612903225806,0.16129032258064516,0.0,0.7741935483870968,0.0,0.9032258064516129,0.0967741935483871,0.0,0.0,0.0,1.0,0.0,0.0,1.5161290322580645,0.16129032258064516,0.0,0.0967741935483871,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.9354838709677419,0.0,0.03225806451612903,0.0,0.0,0.967741935483871,0.03225806451612903,0.45161290322580644,0.5161290322580645,31,1.903225806451613,0.6451612903225806,1.0
881ea55055fffff,0.0,8.0,0.16666666666666666,0.5,0.3333333333333333,2,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0833333333333333,0.25,0.0,0.16666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,12,1.8333333333333333,0.6666666666666666,1.0
881ea55057fffff,1.0,54.0,0.08888888888888889,0.4666666666666667,0.4444444444444444,18,0.022222222222222223,0.022222222222222223,0.24444444444444444,0.06666666666666667,0.5111111111111111,0.13333333333333333,0.0,0.4222222222222222,0.17777777777777778,0.022222222222222223,0.37777777777777777,0.0,0.6444444444444445,0.3333333333333333,0.0,0.022222222222222223,0.0,1.0,0.0,0.0,1.288888888888889,0.24444444444444444,0.044444444444444446,0.08888888888888889,0.0,0.15555555555555556,0.0,0.0,0.0,0.0,0.2,0.2222222222222222,0.5777777777777777,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.6222222222222222,0.35555555555555557,45,1.8444444444444448,0.7555555555555555,1.0
